estacion,latitud,longitud,altitud,p_01,p_02,p_03,p_04,p_05,p_06,p_07,p_08,p_09,p_10,p_11,p_12,ppt_anual,ppt_djfm,ppt_mjjas,cv_mensual,mes_pico,frac_djfm,frac_mjjas,cluster_ward,cluster_pam,coincide_ward_pam
ANANEA,-14.676277777777775,-69.53385555555555,4660,123.02057696289702,103.3804344485345,94.6860094372901,45.04244920208198,14.949322977580886,9.291104484641089,8.964995815209264,13.486893219784253,23.556207835983162,43.515073207006054,58.34692968240131,92.39391512074853,630.6339123941582,413.4809359694701,70.24852433319866,0.7832155786222894,1,0.6556592150265409,0.11139350890044111,1,1,TRUE
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,122.21026970357195,120.3752366132765,102.00223641041633,40.189741569433906,17.625744394084425,10.612718249660771,11.2540031572345,16.553397999559948,28.445764343521837,42.58154775493471,52.319785208419574,84.50718428629042,648.6776296904048,429.0949270135552,84.49162814406148,0.7829710224942885,1,0.6614917909506913,0.1302521071743863,1,1,TRUE
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,160.09747719912775,142.06825433937652,120.14573419870877,45.39022728907013,9.292114922619813,5.795319973541939,5.502636093768044,7.809625840393385,18.509968554689156,52.61565314653858,90.05018156466734,124.94435790087724,782.2215510233787,547.2558236380903,46.90966538501234,0.9059649786319227,1,0.6996174203102903,0.05996979413778684,1,1,TRUE
AYMARAES,-14.291527777777778,-73.25063888888889,2964,159.71443683216324,152.42394911244796,120.94995614546335,41.093472372757915,10.138879531333421,6.347114675708444,6.114762823568236,10.153054846090114,18.98671452798415,39.02774445827475,42.0624769392535,93.7903618480756,700.8029241131206,526.8787039381501,51.74052640468437,0.991284418486058,1,0.7518214976127919,0.07383035176424668,1,1,TRUE
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,60.98907999988644,64.0868435541405,34.29498450720485,3.9260799009022573,0.9097881168050546,0.8940732813218013,1.6335038130590922,1.6416055072703917,1.0474225563108968,1.271297994870455,2.4329643038799045,16.436114084991125,189.56375762064278,175.80702214622292,6.126393274767237,1.5161075284607726,2,0.9274295063197154,0.03231837853218465,2,2,TRUE
CARAVELI,-15.775680555555557,-73.3625861111111,1755,10.067644791675573,11.384078449319707,8.34934564763572,1.3772460583934116,0.3170788945886833,0.38185901774152337,0.2970403944092555,0.58370629431303,0.5148003136659071,0.48606454896680007,0.3204592491449881,1.6337910524406334,35.71311471229523,31.434859941071633,2.0944849147183993,1.4335654032253056,2,0.8802049385585882,0.05864750054963183,2,2,TRUE
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,168.23364461847606,169.073700914113,130.74022493394148,47.14106930391807,8.809959347220586,5.59998030965759,4.737107097447888,7.595977672906466,14.747647400650605,31.020963276571962,42.59695743925413,102.6447935748328,732.9420258889907,570.6923640413634,41.49067182788313,1.0489954481191703,2,0.7786323390982616,0.056608395155890806,1,1,TRUE
CORA CORA,-15.00595,-73.77916666666667,3200,105.2209049092515,126.69713890731094,100.91247829280717,22.284737473846878,3.154221714651875,2.896913054064391,2.5029516130186877,3.0649639282150876,7.903612563481328,8.547313694024993,9.371419766570172,39.480170660930966,432.036826578174,372.3106927703006,19.52266287343137,1.2991412022749549,2,0.8617568454038573,0.0451874971586453,2,2,TRUE
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,77.01298399061972,90.55112255561367,69.13393479202517,15.451712688905669,1.9491329666879502,1.8128859104450357,1.4699322031128446,2.09278740143922,2.5357889105255174,5.262605564738559,5.743144473998335,26.434337951731436,299.4503694098431,263.13237928999,9.860527392210567,1.3484802806208076,2,0.8787178316345756,0.032928753474720025,2,2,TRUE
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,193.33655881988327,198.5538685409028,163.99312842619716,48.31270217716714,8.976698223742577,7.034769342185508,5.548258506407645,10.540238035873834,20.055420131797543,46.269108832663704,64.81188777846086,128.85398898950203,896.2866278047841,684.7375447764853,52.15538424000711,1.0108580194175343,2,0.7639716174875529,0.05819051921788442,1,1,TRUE
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,148.06679583771208,123.20959227521939,99.86390821117934,40.56372027594883,7.898446399360019,4.1090502609377495,3.324074074074074,5.692592592592592,17.408894087651586,44.831268339885774,73.90738813050234,113.24682298665914,682.1225534717229,484.38711931076995,38.43305741461602,0.9289391315673688,1,0.7101174368820368,0.05634333188223669,1,1,TRUE
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,202.39275837424853,199.9145180909279,149.6624306785042,57.510730879975334,14.666881287032771,8.353131963611991,7.600010378027502,14.940340053408795,26.369029145114112,56.92800447352549,80.10467750164361,139.19626412368444,957.6387769497047,691.1659712673651,71.92939282719517,0.9293616254132692,1,0.7217397497925935,0.07511119490827899,1,1,TRUE
HUAMBO,-15.732005555555556,-72.10692499999999,3312,75.66272469911206,78.61893239157244,59.80456111822303,13.504000002238827,1.383885970726509,1.539015907639768,1.2392613201818254,2.47009100864467,2.7814190516189434,5.237069899553303,4.8118811338061285,26.433246430419544,273.48608893373705,240.51946463932708,9.413673258811716,1.3361853133208947,2,0.8794577653915061,0.03442103141521233,2,2,TRUE
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,193.73703703703703,142.21099524073168,119.92223516890138,58.81094887875396,19.589589375016086,8.861996942382188,6.784627405577058,13.961500549633586,36.67323213282226,58.97547795736708,67.12407407407407,136.76396740411462,863.415682166411,592.6342348507847,85.87094640543117,0.8609445125999852,1,0.6863834501636523,0.09945493020229945,1,1,TRUE
