estacion,latitud,longitud,altitud,mes,ppt_media_mensual
ANANEA,-14.676277777777775,-69.53385555555555,4660,1,123.02057696289702
ANANEA,-14.676277777777775,-69.53385555555555,4660,2,103.3804344485345
ANANEA,-14.676277777777775,-69.53385555555555,4660,3,94.6860094372901
ANANEA,-14.676277777777775,-69.53385555555555,4660,4,45.04244920208198
ANANEA,-14.676277777777775,-69.53385555555555,4660,5,14.949322977580886
ANANEA,-14.676277777777775,-69.53385555555555,4660,6,9.291104484641089
ANANEA,-14.676277777777775,-69.53385555555555,4660,7,8.964995815209264
ANANEA,-14.676277777777775,-69.53385555555555,4660,8,13.486893219784253
ANANEA,-14.676277777777775,-69.53385555555555,4660,9,23.556207835983162
ANANEA,-14.676277777777775,-69.53385555555555,4660,10,43.515073207006054
ANANEA,-14.676277777777775,-69.53385555555555,4660,11,58.34692968240131
ANANEA,-14.676277777777775,-69.53385555555555,4660,12,92.39391512074853
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,1,122.21026970357195
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,2,120.3752366132765
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,3,102.00223641041633
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,4,40.189741569433906
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,5,17.625744394084425
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,6,10.612718249660771
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,7,11.2540031572345
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,8,16.553397999559948
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,9,28.445764343521837
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,10,42.58154775493471
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,11,52.319785208419574
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,12,84.50718428629042
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,1,160.09747719912775
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,2,142.06825433937652
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,3,120.14573419870877
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,4,45.39022728907013
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,5,9.292114922619813
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,6,5.795319973541939
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,7,5.502636093768044
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,8,7.809625840393385
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,9,18.509968554689156
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,10,52.61565314653858
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,11,90.05018156466734
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,12,124.94435790087724
AYMARAES,-14.291527777777778,-73.25063888888889,2964,1,159.71443683216324
AYMARAES,-14.291527777777778,-73.25063888888889,2964,2,152.42394911244796
AYMARAES,-14.291527777777778,-73.25063888888889,2964,3,120.94995614546335
AYMARAES,-14.291527777777778,-73.25063888888889,2964,4,41.093472372757915
AYMARAES,-14.291527777777778,-73.25063888888889,2964,5,10.138879531333421
AYMARAES,-14.291527777777778,-73.25063888888889,2964,6,6.347114675708444
AYMARAES,-14.291527777777778,-73.25063888888889,2964,7,6.114762823568236
AYMARAES,-14.291527777777778,-73.25063888888889,2964,8,10.153054846090114
AYMARAES,-14.291527777777778,-73.25063888888889,2964,9,18.98671452798415
AYMARAES,-14.291527777777778,-73.25063888888889,2964,10,39.02774445827475
AYMARAES,-14.291527777777778,-73.25063888888889,2964,11,42.0624769392535
AYMARAES,-14.291527777777778,-73.25063888888889,2964,12,93.7903618480756
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,1,60.98907999988644
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,2,64.0868435541405
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,3,34.29498450720485
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,4,3.9260799009022573
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,5,0.9097881168050546
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,6,0.8940732813218013
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,7,1.6335038130590922
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,8,1.6416055072703917
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,9,1.0474225563108968
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,10,1.271297994870455
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,11,2.4329643038799045
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,12,16.436114084991125
CARAVELI,-15.775680555555557,-73.3625861111111,1755,1,10.067644791675573
CARAVELI,-15.775680555555557,-73.3625861111111,1755,2,11.384078449319707
CARAVELI,-15.775680555555557,-73.3625861111111,1755,3,8.34934564763572
CARAVELI,-15.775680555555557,-73.3625861111111,1755,4,1.3772460583934116
CARAVELI,-15.775680555555557,-73.3625861111111,1755,5,0.3170788945886833
CARAVELI,-15.775680555555557,-73.3625861111111,1755,6,0.38185901774152337
CARAVELI,-15.775680555555557,-73.3625861111111,1755,7,0.2970403944092555
CARAVELI,-15.775680555555557,-73.3625861111111,1755,8,0.58370629431303
CARAVELI,-15.775680555555557,-73.3625861111111,1755,9,0.5148003136659071
CARAVELI,-15.775680555555557,-73.3625861111111,1755,10,0.48606454896680007
CARAVELI,-15.775680555555557,-73.3625861111111,1755,11,0.3204592491449881
CARAVELI,-15.775680555555557,-73.3625861111111,1755,12,1.6337910524406334
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,1,168.23364461847606
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,2,169.073700914113
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,3,130.74022493394148
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,4,47.14106930391807
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,5,8.809959347220586
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,6,5.59998030965759
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,7,4.737107097447888
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,8,7.595977672906466
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,9,14.747647400650605
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,10,31.020963276571962
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,11,42.59695743925413
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,12,102.6447935748328
CORA CORA,-15.00595,-73.77916666666667,3200,1,105.2209049092515
CORA CORA,-15.00595,-73.77916666666667,3200,2,126.69713890731094
CORA CORA,-15.00595,-73.77916666666667,3200,3,100.91247829280717
CORA CORA,-15.00595,-73.77916666666667,3200,4,22.284737473846878
CORA CORA,-15.00595,-73.77916666666667,3200,5,3.154221714651875
CORA CORA,-15.00595,-73.77916666666667,3200,6,2.896913054064391
CORA CORA,-15.00595,-73.77916666666667,3200,7,2.5029516130186877
CORA CORA,-15.00595,-73.77916666666667,3200,8,3.0649639282150876
CORA CORA,-15.00595,-73.77916666666667,3200,9,7.903612563481328
CORA CORA,-15.00595,-73.77916666666667,3200,10,8.547313694024993
CORA CORA,-15.00595,-73.77916666666667,3200,11,9.371419766570172
CORA CORA,-15.00595,-73.77916666666667,3200,12,39.480170660930966
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,1,77.01298399061972
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,2,90.55112255561367
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,3,69.13393479202517
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,4,15.451712688905669
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,5,1.9491329666879502
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,6,1.8128859104450357
