estacion,latitud,longitud,altitud,p_01,p_02,p_03,p_04,p_05,p_06,p_07,p_08,p_09,p_10,p_11,p_12,ppt_anual,ppt_djfm,ppt_mjjas,cv_mensual,mes_pico,frac_djfm,frac_mjjas,cluster_ward,cluster_pam,coincide_ward_pam,cluster_label,z_p_01,z_p_02,z_p_03,z_p_04,z_p_05,z_p_06,z_p_07,z_p_08,z_p_09,z_p_10,z_p_11,z_p_12,z_altitud,z_ppt_anual,z_frac_djfm,z_cv_mensual,PC1,PC2
ANANEA,-14.676277777777775,-69.53385555555555,4660,123.02057696289702,103.3804344485345,94.6860094372901,45.04244920208198,14.949322977580886,9.291104484641089,8.964995815209264,13.486893219784253,23.556207835983162,43.515073207006054,58.34692968240131,92.39391512074853,630.6339123941582,413.4809359694701,70.24852433319866,0.7832155786222894,1,0.6556592150265409,0.11139350890044111,1,1,TRUE,Cluster 1 (n = 18),0.07324650029753013,-0.12701146761140372,0.09226008456967033,0.5665603513333073,1.2787682368936462,1.354446518525336,1.505954505339089,1.2457789927224154,0.881624270771088,0.6436153542114867,0.5743452144897567,0.29562555559529274,1.2392032097269738,0.29529465773731434,-0.3044389975231857,-0.889233743326352,-2.5854634713292004,-1.184314691853955
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,122.21026970357195,120.3752366132765,102.00223641041633,40.189741569433906,17.625744394084425,10.612718249660771,11.2540031572345,16.553397999559948,28.445764343521837,42.58154775493471,52.319785208419574,84.50718428629042,648.6776296904048,429.0949270135552,84.49162814406148,0.7829710224942885,1,0.6614917909506913,0.1302521071743863,1,1,TRUE,Cluster 1 (n = 18),0.06097292367051999,0.1520978194902513,0.2354677888180604,0.3382940949052821,1.7352334446122022,1.7447409757096277,2.2319349319879564,1.8474366047499335,1.342219652662992,0.6019808047949219,0.3834421109969558,0.14212936616742558,-0.0833643881851495,0.35188465723620616,-0.2700741561638796,-0.8902631897788622,-2.959488718105568,-1.8911833616298885
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,160.09747719912775,142.06825433937652,120.14573419870877,45.39022728907013,9.292114922619813,5.795319973541939,5.502636093768044,7.809625840393385,18.509968554689156,52.61565314653858,90.05018156466734,124.94435790087724,782.2215510233787,547.2558236380903,46.90966538501234,0.9059649786319227,1,0.6996174203102903,0.05996979413778684,1,1,TRUE,Cluster 1 (n = 18),0.6348435622816795,0.5083669101170714,0.5906083106800892,0.5829194662839776,0.3139281582753766,0.32208339224359783,0.4078342234007194,0.13188177760837647,0.4062693985445384,1.0494945344428883,1.5785104873258744,0.9291413983206246,0.2548297775205132,0.7707146753104225,-0.045442497407176534,-0.3725264523636198,-2.3026019988003172,-0.31283387919155536
AYMARAES,-14.291527777777778,-73.25063888888889,2964,159.71443683216324,152.42394911244796,120.94995614546335,41.093472372757915,10.138879531333421,6.347114675708444,6.114762823568236,10.153054846090114,18.98671452798415,39.02774445827475,42.0624769392535,93.7903618480756,700.8029241131206,526.8787039381501,51.74052640468437,0.991284418486058,1,0.7518214976127919,0.07383035176424668,1,1,TRUE,Cluster 1 (n = 18),0.6290417195349012,0.6784407101846452,0.6063501375976981,0.3808046401327704,0.4583443479762214,0.4850375165569421,0.6019760316442597,0.5916697123353682,0.45117878721745364,0.44348378830411467,0.05855327010070422,0.3228040222987845,-0.010420548523143813,0.5153637417746604,0.2621376966853218,-0.013378655062547777,-1.6935955614676685,0.07251116089040525
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,60.98907999988644,64.0868435541405,34.29498450720485,3.9260799009022573,0.9097881168050546,0.8940732813218013,1.6335038130590922,1.6416055072703917,1.0474225563108968,1.271297994870455,2.4329643038799045,16.436114084991125,189.56375762064278,175.80702214622292,6.126393274767237,1.5161075284607726,2,0.9274295063197154,0.03231837853218465,2,2,TRUE,Cluster 2 (n = 6),-0.8663332979851689,-0.7723385526745848,-1.089832826053809,-1.3675103590364635,-1.1156824863665393,-1.125336018705013,-0.8192978405029104,-1.0783026672485487,-1.2386994305357861,-1.2404259889671267,-1.1966675039588281,-1.1827097979289112,0.3366152947173075,-1.0880211761236736,1.2967991291494159,2.1958372544929268,3.7954422932070875,2.654077878120995
CARAVELI,-15.775680555555557,-73.3625861111111,1755,10.067644791675573,11.384078449319707,8.34934564763572,1.3772460583934116,0.3170788945886833,0.38185901774152337,0.2970403944092555,0.58370629431303,0.5148003136659071,0.48606454896680007,0.3204592491449881,1.6337910524406334,35.71311471229523,31.434859941071633,2.0944849147183993,1.4335654032253056,2,0.8802049385585882,0.05864750054963183,2,2,TRUE,Cluster 2 (n = 6),-1.6376310122693518,-1.6378873866121777,-1.5976923265839063,-1.4874048186928066,-1.2167693841799436,-1.2766013832596406,-1.243169911622425,-1.2858657268046711,-1.2888723541694438,-1.2754468238404288,-1.2635787540265908,-1.4708013060414695,-0.9012195601530921,-1.5705385899216955,1.018557611083052,1.848380420346466,5.144851943807207,1.611349113761373
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,168.23364461847606,169.073700914113,130.74022493394148,47.14106930391807,8.809959347220586,5.59998030965759,4.737107097447888,7.595977672906466,14.747647400650605,31.020963276571962,42.59695743925413,102.6447935748328,732.9420258889907,570.6923640413634,41.49067182788313,1.0489954481191703,2,0.7786323390982616,0.056608395155890806,1,1,TRUE,Cluster 1 (n = 18),0.7580806098612989,0.9518831610431355,0.7979846949074374,0.6652772307693996,0.23169624833766997,0.26439635076429807,0.1650394288375577,0.08996335402984314,0.051859393041463926,0.08638722919310522,0.07548234599177835,0.4951341750749221,0.9938466581365911,0.6161606963894195,0.4201039754512292,0.2295529582736902,-1.653661338194356,1.0367564669292944
CORA CORA,-15.00595,-73.77916666666667,3200,105.2209049092515,126.69713890731094,100.91247829280717,22.284737473846878,3.154221714651875,2.896913054064391,2.5029516130186877,3.0649639282150876,7.903612563481328,8.547313694024993,9.371419766570172,39.480170660930966,432.036826578174,372.3106927703006,19.52266287343137,1.2991412022749549,2,0.8617568454038573,0.0451874971586453,2,2,TRUE,Cluster 2 (n = 6),-0.1963618937677479,0.25592377905775765,0.2141368816739686,-0.5039384411599112,-0.7328930488981815,-0.5338642267037864,-0.5435442100208343,-0.7990353938848053,-0.5928475112855937,-0.915921033574652,-0.9768996376015295,-0.7342128290818708,0.16346577632769804,-0.32755975758572486,0.9098636475773187,1.2825286548190207,1.690820819211416,1.982834910047838
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,77.01298399061972,90.55112255561367,69.13393479202517,15.451712688905669,1.9491329666879502,1.8128859104450357,1.4699322031128446,2.09278740143922,2.5357889105255174,5.262605564738559,5.743144473998335,26.434337951731436,299.4503694098431,263.13237928999,9.860527392210567,1.3484802806208076,2,0.8787178316345756,0.032928753474720025,2,2,TRUE,Cluster 2 (n = 6),-0.6236221396796995,-0.337710013068245,-0.40789579662058767,-0.8253567308678574,-0.9384216260746676,-0.8539954153991869,-0.8711761307102949,-0.9897794003598123,-1.0984955760026411,-1.0624166032715743,-1.0918212255389472,-0.9881184904779017,-0.2174631641294428,-0.7433869079189008,1.0097957545392884,1.4902189694656325,2.973850467823278,1.9814394618330218
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,193.33655881988327,198.5538685409028,163.99312842619716,48.31270217716714,8.976698223742577,7.034769342185508,5.548258506407645,10.540238035873834,20.055420131797543,46.269108832663704,64.81188777846086,128.85398898950203,896.2866278047841,684.7375447764853,52.15538424000711,1.0108580194175343,2,0.7639716174875529,0.05819051921788442,1,1,TRUE,Cluster 1 (n = 18),1.1383098839626564,1.4360422874742202,1.448876470984249,0.7203896072260528,0.26013365936608707,0.6881133408912278,0.42230380503322923,0.6676362377811593,0.5518506712542808,0.7664433200660915,0.779115577937397,1.0052329357103196,0.4102959408405456,1.128453744922398,0.33372475314589106,0.06901541212552,-3.0952946776414687,0.5809667896512952
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,148.06679583771208,123.20959227521939,99.86390821117934,40.56372027594883,7.898446399360019,4.1090502609377495,3.324074074074074,5.692592592592592,17.408894087651586,44.831268339885774,73.90738813050234,113.24682298665914,682.1225534717229,484.38711931076995,38.43305741461602,0.9289391315673688,1,0.7101174368820368,0.05634333188223669,1,1,TRUE,Cluster 1 (n = 18),0.45261702060233194,0.19864705145710843,0.19361218845640657,0.3558856594054029,0.07623719225715048,-0.17590001226290886,-0.28311741991690587,-0.2834866173327379,0.3025483731601963,0.7023166902919676,1.0672054441286225,0.7014771008163875,0.17378106678495137,0.45677702442148455,0.016422347294474157,-0.27581793627713586,-1.0969571913980094,-0.06805242102744162
