codigo_estacion,estacion,altitud,latitud,longitud,cluster_ward
E01,ANANEA,4660,-14.676277777777775,-69.53385555555555,1
E02,ANDAHUAYLAS,2865,-13.64861111111111,-73.36666666666666,1
E03,ANTA ANCACHURO,3324,-13.472419444444444,-72.2187611111111,1
E04,AYMARAES,2964,-14.291527777777778,-73.25063888888889,1
E07,CAYLLOMA,4327,-15.188827777777778,-71.77019166666666,1
E10,CURPAHUASI,3535,-14.062836111111112,-72.68972222222223,1
E11,GRANJA KAYRA,3214,-13.556747222222224,-71.87516944444444,1
E12,GRANJA SAN ANTONIO,2772,-13.604919444444445,-72.85693055555555,1
E14,HUARAYA MOHO,3890,-15.388277777777777,-69.48427777777778,1
E15,IMATA,4475,-15.842655555555556,-71.09061666666666,1
E17,MACUSANI,4345,-14.07,-70.43908333333334,1
E18,MAÑAZO,3910,-14.800555555555556,-70.06658333333333,1
E20,PAUCARAY,3238,-14.043783333333334,-73.63881388888889,1
E21,PIZACOMA,3930,-16.90434722222222,-69.36952777777778,1
E22,PUCARA,3877,-15.045666666666667,-70.36663888888889,1
E25,SANTO TOMAS,3253,-14.399444444444445,-72.0886111111111,1
E26,SICUANI,3534,-14.23736111111111,-71.23669444444444,1
E27,TAMBOBAMBA,3317,-13.944916666666668,-72.17522222222223,1
E05,CANDARAVE,3435,-17.27111111111111,-70.2538888888889,2
E06,CARAVELI,1755,-15.775680555555557,-73.3625861111111,2
E08,CORA CORA,3200,-15.00595,-73.77916666666667,2
E09,COTAHUASI,2683,-15.21133611111111,-72.89325277777779,2
E13,HUAMBO,3312,-15.732005555555556,-72.10692499999999,2
E28,UBINAS,3380,-16.372055555555555,-70.85394444444444,2
E16,LA YARADA,30,-18.21065,-70.52593333333333,3
E19,PAMPA BLANCA,108,-17.071608333333334,-71.724525,3
E23,PUNTA ATICO,30,-16.231741666666665,-73.696375,3
E24,PUNTA COLES,25,-17.698611111111113,-71.37330555555555,3
