estacion,longitud,latitud,altitud,cluster_ward,cluster_pam,coincide_ward_pam
ANANEA,-69.53385555555555,-14.676277777777775,4660,1,1,TRUE
ANDAHUAYLAS,-73.36666666666666,-13.64861111111111,2865,1,1,TRUE
ANTA ANCACHURO,-72.2187611111111,-13.472419444444444,3324,1,1,TRUE
AYMARAES,-73.25063888888889,-14.291527777777778,2964,1,1,TRUE
CAYLLOMA,-71.77019166666666,-15.188827777777778,4327,1,1,TRUE
CURPAHUASI,-72.68972222222223,-14.062836111111112,3535,1,1,TRUE
GRANJA KAYRA,-71.87516944444444,-13.556747222222224,3214,1,1,TRUE
GRANJA SAN ANTONIO,-72.85693055555555,-13.604919444444445,2772,1,1,TRUE
HUARAYA MOHO,-69.48427777777778,-15.388277777777777,3890,1,1,TRUE
IMATA,-71.09061666666666,-15.842655555555556,4475,1,2,FALSE
MACUSANI,-70.43908333333334,-14.07,4345,1,1,TRUE
MAÑAZO,-70.06658333333333,-14.800555555555556,3910,1,1,TRUE
PAUCARAY,-73.63881388888889,-14.043783333333334,3238,1,1,TRUE
PIZACOMA,-69.36952777777778,-16.90434722222222,3930,1,1,TRUE
PUCARA,-70.36663888888889,-15.045666666666667,3877,1,1,TRUE
SANTO TOMAS,-72.0886111111111,-14.399444444444445,3253,1,1,TRUE
SICUANI,-71.23669444444444,-14.23736111111111,3534,1,1,TRUE
TAMBOBAMBA,-72.17522222222223,-13.944916666666668,3317,1,1,TRUE
CANDARAVE,-70.2538888888889,-17.27111111111111,3435,2,2,TRUE
CARAVELI,-73.3625861111111,-15.775680555555557,1755,2,2,TRUE
CORA CORA,-73.77916666666667,-15.00595,3200,2,2,TRUE
COTAHUASI,-72.89325277777779,-15.21133611111111,2683,2,2,TRUE
HUAMBO,-72.10692499999999,-15.732005555555556,3312,2,2,TRUE
UBINAS,-70.85394444444444,-16.372055555555555,3380,2,2,TRUE
LA YARADA,-70.52593333333333,-18.21065,30,3,3,TRUE
PAMPA BLANCA,-71.724525,-17.071608333333334,108,3,3,TRUE
PUNTA ATICO,-73.696375,-16.231741666666665,30,3,3,TRUE
PUNTA COLES,-71.37330555555555,-17.698611111111113,25,3,3,TRUE
