estacion,PC1,PC2,cluster_ward,cluster_label
ANANEA,-2.5854634713292004,-1.184314691853955,1,Cluster 1 (n = 18)
ANDAHUAYLAS,-2.959488718105568,-1.8911833616298885,1,Cluster 1 (n = 18)
ANTA ANCACHURO,-2.3026019988003172,-0.31283387919155536,1,Cluster 1 (n = 18)
AYMARAES,-1.6935955614676685,0.07251116089040525,1,Cluster 1 (n = 18)
CANDARAVE,3.7954422932070875,2.654077878120995,2,Cluster 2 (n = 6)
CARAVELI,5.144851943807207,1.611349113761373,2,Cluster 2 (n = 6)
CAYLLOMA,-1.653661338194356,1.0367564669292944,1,Cluster 1 (n = 18)
CORA CORA,1.690820819211416,1.982834910047838,2,Cluster 2 (n = 6)
COTAHUASI,2.973850467823278,1.9814394618330218,2,Cluster 2 (n = 6)
CURPAHUASI,-3.0952946776414687,0.5809667896512952,1,Cluster 1 (n = 18)
GRANJA KAYRA,-1.0969571913980094,-0.06805242102744162,1,Cluster 1 (n = 18)
GRANJA SAN ANTONIO,-4.351588394130545,-0.5268921769824352,1,Cluster 1 (n = 18)
HUAMBO,3.0781984720579727,2.076288800283369,2,Cluster 2 (n = 6)
HUARAYA MOHO,-4.32906135500496,-0.9944450822789377,1,Cluster 1 (n = 18)
IMATA,0.6003731262049556,1.7409605667756942,1,Cluster 1 (n = 18)
LA YARADA,5.640608639972832,-3.1443668537153435,3,Cluster 3 (n = 4)
MACUSANI,-1.788604798233308,-0.40805331098726894,1,Cluster 1 (n = 18)
MAÑAZO,-1.2960450967620318,0.57173987704825,1,Cluster 1 (n = 18)
PAMPA BLANCA,5.569263057300121,-2.298900734368087,3,Cluster 3 (n = 4)
PAUCARAY,-3.3194351544140557,-0.9811865163149989,1,Cluster 1 (n = 18)
PIZACOMA,-0.4377098861272405,1.255717205022128,1,Cluster 1 (n = 18)
PUCARA,-2.1213264076766922,-0.15869782880376232,1,Cluster 1 (n = 18)
PUNTA ATICO,5.563579075888251,-1.75534864930935,3,Cluster 3 (n = 4)
PUNTA COLES,5.746948100024191,-3.0642326321470814,3,Cluster 3 (n = 4)
SANTO TOMAS,-2.6730966694431286,0.07954226046568957,1,Cluster 1 (n = 18)
SICUANI,-1.858004294879545,-0.3423065618188818,1,Cluster 1 (n = 18)
TAMBOBAMBA,-4.797081928783091,-0.43514790033594564,1,Cluster 1 (n = 18)
UBINAS,2.5550809468938738,1.9217781099355855,2,Cluster 2 (n = 6)
