k,logW,E.logW,gap,SE.sim
1,3.5180779140232277,3.504606326273603,-0.013471587749624536,0.05305796221898422
2,3.015544568698684,3.1759555700636053,0.16041100136492137,0.04994559751895806
3,2.731692781722214,3.007065505786552,0.2753727240643382,0.04724533560524805
4,2.5012504958436383,2.873174363985471,0.37192386814183287,0.04453229908369745
5,2.369132185859478,2.7578625625963626,0.3887303767368846,0.04394524195000229
6,2.222473013702572,2.654530000948721,0.43205698724614905,0.04447096099040525
7,2.1083852110523753,2.5607483562909117,0.4523631452385364,0.04592787106206195
8,2.004958370677508,2.4709028210842585,0.4659444504067505,0.04817356427209172
9,1.9079264864138048,2.382362184153392,0.4744356977395874,0.047886529100980076
10,1.7995785266181916,2.2947762969714764,0.4951977703532848,0.049392298123653935
