estacion,z_p_01,z_p_02,z_p_03,z_p_04,z_p_05,z_p_06,z_p_07,z_p_08,z_p_09,z_p_10,z_p_11,z_p_12,z_altitud,z_ppt_anual,z_frac_djfm,z_cv_mensual
ANANEA,0.07324650029753013,-0.12701146761140372,0.09226008456967033,0.5665603513333073,1.2787682368936462,1.354446518525336,1.505954505339089,1.2457789927224154,0.881624270771088,0.6436153542114867,0.5743452144897567,0.29562555559529274,1.2392032097269738,0.29529465773731434,-0.3044389975231857,-0.889233743326352
ANDAHUAYLAS,0.06097292367051999,0.1520978194902513,0.2354677888180604,0.3382940949052821,1.7352334446122022,1.7447409757096277,2.2319349319879564,1.8474366047499335,1.342219652662992,0.6019808047949219,0.3834421109969558,0.14212936616742558,-0.0833643881851495,0.35188465723620616,-0.2700741561638796,-0.8902631897788622
ANTA ANCACHURO,0.6348435622816795,0.5083669101170714,0.5906083106800892,0.5829194662839776,0.3139281582753766,0.32208339224359783,0.4078342234007194,0.13188177760837647,0.4062693985445384,1.0494945344428883,1.5785104873258744,0.9291413983206246,0.2548297775205132,0.7707146753104225,-0.045442497407176534,-0.3725264523636198
AYMARAES,0.6290417195349012,0.6784407101846452,0.6063501375976981,0.3808046401327704,0.4583443479762214,0.4850375165569421,0.6019760316442597,0.5916697123353682,0.45117878721745364,0.44348378830411467,0.05855327010070422,0.3228040222987845,-0.010420548523143813,0.5153637417746604,0.2621376966853218,-0.013378655062547777
CANDARAVE,-0.8663332979851689,-0.7723385526745848,-1.089832826053809,-1.3675103590364635,-1.1156824863665393,-1.125336018705013,-0.8192978405029104,-1.0783026672485487,-1.2386994305357861,-1.2404259889671267,-1.1966675039588281,-1.1827097979289112,0.3366152947173075,-1.0880211761236736,1.2967991291494159,2.1958372544929268
CARAVELI,-1.6376310122693518,-1.6378873866121777,-1.5976923265839063,-1.4874048186928066,-1.2167693841799436,-1.2766013832596406,-1.243169911622425,-1.2858657268046711,-1.2888723541694438,-1.2754468238404288,-1.2635787540265908,-1.4708013060414695,-0.9012195601530921,-1.5705385899216955,1.018557611083052,1.848380420346466
CAYLLOMA,0.7580806098612989,0.9518831610431355,0.7979846949074374,0.6652772307693996,0.23169624833766997,0.26439635076429807,0.1650394288375577,0.08996335402984314,0.051859393041463926,0.08638722919310522,0.07548234599177835,0.4951341750749221,0.9938466581365911,0.6161606963894195,0.4201039754512292,0.2295529582736902
CORA CORA,-0.1963618937677479,0.25592377905775765,0.2141368816739686,-0.5039384411599112,-0.7328930488981815,-0.5338642267037864,-0.5435442100208343,-0.7990353938848053,-0.5928475112855937,-0.915921033574652,-0.9768996376015295,-0.7342128290818708,0.16346577632769804,-0.32755975758572486,0.9098636475773187,1.2825286548190207
COTAHUASI,-0.6236221396796995,-0.337710013068245,-0.40789579662058767,-0.8253567308678574,-0.9384216260746676,-0.8539954153991869,-0.8711761307102949,-0.9897794003598123,-1.0984955760026411,-1.0624166032715743,-1.0918212255389472,-0.9881184904779017,-0.2174631641294428,-0.7433869079189008,1.0097957545392884,1.4902189694656325
CURPAHUASI,1.1383098839626564,1.4360422874742202,1.448876470984249,0.7203896072260528,0.26013365936608707,0.6881133408912278,0.42230380503322923,0.6676362377811593,0.5518506712542808,0.7664433200660915,0.779115577937397,1.0052329357103196,0.4102959408405456,1.128453744922398,0.33372475314589106,0.06901541212552
GRANJA KAYRA,0.45261702060233194,0.19864705145710843,0.19361218845640657,0.3558856594054029,0.07623719225715048,-0.17590001226290886,-0.28311741991690587,-0.2834866173327379,0.3025483731601963,0.7023166902919676,1.0672054441286225,0.7014771008163875,0.17378106678495137,0.45677702442148455,0.016422347294474157,-0.27581793627713586
GRANJA SAN ANTONIO,1.2754824908976836,1.4583885273551749,1.1683676332646138,1.1530551905350188,1.2305976445685958,1.0774476814684435,1.0730364050511516,1.5309497046335392,1.1465915542200782,1.2418222358747548,1.2634976981638462,1.2065203710790533,-0.1518873890797609,1.320870752591278,0.08489962810375445,-0.27403947014576213
HUAMBO,-0.6440742714975181,-0.5336749356347613,-0.5905088006741898,-0.9169750844219946,-1.034824825448591,-0.9348737679959084,-0.9443355928628134,-0.9157512792175375,-1.0753572589657778,-1.0635554751809382,-1.1213179569644536,-0.9881397343070081,0.24598809998572468,-0.8248179453824266,1.0141553559407934,1.4384639364836809
HUARAYA MOHO,1.1443758546535512,0.5107111746063714,0.5862335444135389,1.2142160758776162,2.0701683325264906,1.227723946687467,0.8144299482898308,1.338898401702692,2.1172457030979337,1.3331380492282767,0.8523515094123364,1.1591815832025019,0.6718622345780407,1.025361529129892,-0.12341547033667168,-0.56203779041836
