estacion,ANANEA,ANDAHUAYLAS,ANTA ANCACHURO,AYMARAES,CANDARAVE,CARAVELI,CAYLLOMA,CORA CORA,COTAHUASI,CURPAHUASI,GRANJA KAYRA,GRANJA SAN ANTONIO,HUAMBO,HUARAYA MOHO,IMATA,LA YARADA,MACUSANI,MAÑAZO,PAMPA BLANCA,PAUCARAY,PIZACOMA,PUCARA,PUNTA ATICO,PUNTA COLES,SANTO TOMAS,SICUANI,TAMBOBAMBA,UBINAS
ANANEA,0,1.8514460224788978,2.95643567825843,2.6684632069854235,7.570026434972887,8.461753328588268,3.2843290970521903,5.760533752504001,6.708539367559195,3.436244944302172,3.4668339868059412,3.3254089879093245,6.72921554376415,2.677058955126256,4.788718060313849,8.768884866947133,1.8591140901208785,3.2907505116019475,8.527990187016403,2.113359920805398,3.9479200034255015,2.9521889238290218,8.491164605687965,8.908095537616488,3.2423853176236226,2.6558143742929436,3.68269063845497,6.202086200805319
ANDAHUAYLAS,1.8514460224788978,0,3.8326112485552133,3.198688529744018,8.315772736785199,9.044703645675769,4.297982082952877,6.486945656773791,7.4000725352197145,4.00891331002153,4.45793685670927,3.2654517332879296,7.518549823696138,2.8953009194634935,5.849834444648113,9.155364552657684,3.200351695062524,4.363895958714474,8.939124336482005,1.5363639347301667,4.900658248745119,4.007948080079865,8.901114761933774,9.30354737234513,3.9626287528134725,3.7007914358074965,3.938759455557976,6.982488280694001
ANTA ANCACHURO,2.95643567825843,3.8326112485552133,0,1.9423950216758608,7.042860623825454,7.967345590142201,2.2321250330894946,4.9701269660225345,5.979575464286183,1.8790168257008981,1.362194054333415,2.6530324840699877,6.104478049694089,3.170777681658151,3.9210835918750124,8.536676864119793,1.691512625645369,1.8510707061412894,8.226078736323666,3.5105187841132532,2.90527932316771,1.3599667045876134,8.115339659589011,8.637314148206274,1.24997180512605,1.0674884993541516,2.697478722691502,5.628505943752566
AYMARAES,2.6684632069854235,3.198688529744018,1.9423950216758608,0,6.191128114588221,7.198656426209496,1.4735620062124857,3.9328105379632903,5.06543149593201,1.8550512739862295,1.9952206749885661,2.848141366130459,5.23098568406371,3.288452707578704,3.1395730161262936,8.06975705215119,1.697140503160011,1.5259342403212508,7.690227326483291,2.7988367797463067,2.0815962986324092,1.904470435832733,7.54251706059864,8.177693660166993,1.7154181214138327,1.631173958319017,3.4010980734856635,4.689410881792142
CANDARAVE,7.570026434972887,8.315772736785199,7.042860623825454,6.191128114588221,0,1.9815753883239482,5.934547209919288,2.639447872941346,1.492849960197385,7.467579054693874,5.9604887913403495,8.88735287296793,1.2149185645552993,9.00734904936124,3.7191708075211936,6.276357781888733,6.480328423531361,5.7862644419401175,5.457790634222447,8.218938087769445,4.726111327119986,6.850867261643593,4.962288094287841,6.270240936240459,7.259916645502652,6.620403886219966,9.30559677643608,1.6508268503689063
CARAVELI,8.461753328588268,9.044703645675769,7.967345590142201,7.198656426209496,1.9815753883239482,0,7.199316590640212,3.9591658216511423,2.584354090420619,8.628026371357292,6.821730499801035,9.881655208702322,2.5112426557364875,9.937346871594004,5.112956875013474,5.215001475306345,7.428197641064145,6.875425551282079,4.295163946189687,9.151180801854103,5.999623633944077,7.788610230461348,3.706476970557517,5.203885594486067,8.261139865101752,7.512358579440736,10.318489214396253,3.0047038135090682
CAYLLOMA,3.2843290970521903,4.297982082952877,2.2321250330894946,1.4735620062124857,5.934547209919288,7.199316590640212,0,3.595992118976976,4.85450437765287,1.868126026119771,2.0650848067099825,3.4763960222914707,4.956243515080365,3.877808281861636,2.421267018033966,8.423293602105469,1.9780877437014024,1.0069798766737044,8.017425436477245,3.6884204098903672,1.5390234910404046,2.037728930938771,7.853965794900701,8.512097192300487,1.9048512089286087,1.8375212736908106,3.728485031272573,4.42173972790387
CORA CORA,5.760533752504001,6.486945656773791,4.9701269660225345,3.9328105379632903,2.639447872941346,3.9591658216511423,3.595992118976976,0,1.4281440526697768,5.098657114656605,3.972730309296025,6.644530636703428,1.6423792337388068,6.944143874413996,1.6631319301230547,6.534599255135707,4.515145541902145,3.559835256586647,5.867123011037398,6.191065423880419,2.5872702523647515,4.759689390136952,5.511681898249211,6.5793970365070855,4.967264814446825,4.51891197828834,7.057696230110776,1.2327415327016171
COTAHUASI,6.708539367559195,7.4000725352197145,5.979575464286183,5.06543149593201,1.492849960197385,2.584354090420619,4.85450437765287,1.4281440526697768,0,6.34344339180559,4.8815574631756045,7.79409029371488,0.5768463754906706,8.032971958450327,2.7425188816787935,5.86141243362313,5.510254631522913,4.6846676918542425,5.073253503686355,7.250220762707342,3.712241134832692,5.794315027383879,4.622815150150601,5.892220771838326,6.110519647097887,5.521497379151984,8.215242971945889,0.7700498508654974
CURPAHUASI,3.436244944302172,4.00891331002153,1.8790168257008981,1.8550512739862295,7.467579054693874,8.628026371357292,1.868126026119771,5.098657114656605,6.34344339180559,0,2.619288260440136,1.9836492949947946,6.507310076518901,3.0826889661562413,4.112463561126403,9.532381928856704,2.5615140639536302,2.163048516957997,9.196127151044095,3.2112994627429776,2.975590624413392,2.1064019204572877,9.06077620233067,9.622079697244175,1.126449002694797,2.1499182945259308,2.1949121619654117,5.986375054194272
