estacion,latitud,longitud,altitud,n_registros,ppt_media_mensual,eto_media_mensual
ANANEA,-14.676277777777775,-69.53385555555555,4660,648,52.55282603284651,75.78317901234568
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,648,54.05646914086707,95.27191358024692
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,648,65.18512925194823,97.43470679012346
AYMARAES,-14.291527777777778,-73.25063888888889,2964,648,58.40024367609339,106.04146604938272
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,648,15.796979801720232,95.71597222222222
CARAVELI,-15.775680555555557,-73.3625861111111,1755,648,2.9760928926912693,131.12782407407408
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,648,61.07850215741589,82.18677469135802
CORA CORA,-15.00595,-73.77916666666667,3200,648,36.0030688815145,102.64226851851852
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,648,24.95419745082026,133.6105709876543
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,648,74.69055231706534,87.76532407407407
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,648,56.84354612264357,98.0533024691358
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,648,79.80323141247538,98.34932098765432
HUAMBO,-15.732005555555556,-72.10692499999999,3312,648,22.790507411144755,99.9700925925926
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,648,71.95130684720093,92.25293209876543
IMATA,-15.842655555555556,-71.09061666666666,4475,648,44.198637319637136,77.0666512345679
LA YARADA,-18.21065,-70.52593333333333,30,648,0.36967871638038946,100.49168209876544
MACUSANI,-14.07,-70.43908333333334,4345,648,54.31049827165758,77.93981481481481
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,648,58.01504207023934,101.93418209876543
PAMPA BLANCA,-17.071608333333334,-71.724525,108,648,0.4496425636643874,109.50083333333333
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,648,61.36754214372346,100.22760802469136
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,648,52.567549076338615,108.2271913580247
PUCARA,-15.045666666666667,-70.36663888888889,3877,648,62.24707668035266,88.57050925925925
PUNTA ATICO,-16.231741666666665,-73.696375,30,648,0.7287392055381672,100.74663580246913
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,648,0.2892575609741791,93.14740740740741
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,648,69.91643598706244,106.48881172839506
SICUANI,-14.23736111111111,-71.23669444444444,3534,648,59.28498549557717,102.97651234567901
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,648,84.34315344480014,112.22645061728394
UBINAS,-16.372055555555555,-70.85394444444444,3380,648,26.613982446460714,106.32561728395062
