variable,minimo,q1,mediana,media,q3,maximo
Latitud (°),-18.21065,-15.939927083333334,-15.025808333333334,-15.205711607142858,-14.068209027777778,-13.472419444444444
Longitud (°),-73.77916666666667,-72.8660111111111,-71.82268055555555,-71.71742529761904,-70.50422083333333,-69.36952777777778
Altitud (m s.n.m.),25,2841.75,3314.5,2978.1428571428573,3880.25,4660
Humedad relativa (%),21.67,62.32337893438072,73.29268359046128,70.69189992791445,80.54848308887965,99.9998994965253
Precipitación mensual (mm),0,0.3,14,44.70660265638763,71,424.1
Temperatura media (°C),-1.41,9.547374517373651,12.331497008360195,12.400807015368123,15.228210034901565,26.45
Velocidad del viento (m s-1),0,1.8,2.6,2.7906032387994966,3.5042872682247417,27.8
ETo diaria (mm d-1),1.4172110574395407,2.693865277673812,3.2553736776522406,3.2664129585432837,3.8051915126690754,7.035913344523014
ETo mensual (mm),42.52,82.11,98.62,99.35984126984127,115.9325,211.08
Año,1970,1983,1996.5,1996.5,2010,2023
Mes,1,3.75,6.5,6.5,9.25,12
