estacion,cluster_ward,cluster_pam,coincide_ward_pam
ANANEA,1,1,TRUE
ANDAHUAYLAS,1,1,TRUE
ANTA ANCACHURO,1,1,TRUE
AYMARAES,1,1,TRUE
CANDARAVE,2,2,TRUE
CARAVELI,2,2,TRUE
CAYLLOMA,1,1,TRUE
CORA CORA,2,2,TRUE
COTAHUASI,2,2,TRUE
CURPAHUASI,1,1,TRUE
GRANJA KAYRA,1,1,TRUE
GRANJA SAN ANTONIO,1,1,TRUE
HUAMBO,2,2,TRUE
HUARAYA MOHO,1,1,TRUE
IMATA,1,2,FALSE
LA YARADA,3,3,TRUE
MACUSANI,1,1,TRUE
MAÑAZO,1,1,TRUE
PAMPA BLANCA,3,3,TRUE
PAUCARAY,1,1,TRUE
PIZACOMA,1,1,TRUE
PUCARA,1,1,TRUE
PUNTA ATICO,3,3,TRUE
PUNTA COLES,3,3,TRUE
SANTO TOMAS,1,1,TRUE
SICUANI,1,1,TRUE
TAMBOBAMBA,1,1,TRUE
UBINAS,2,2,TRUE
