estacion,latitud,longitud,altitud,cluster_ward,ppt_anual,frac_djfm,cv_mensual,frac_mjjas,mes_pico
ANANEA,-14.676277777777775,-69.53385555555555,4660,1,630.6339123941582,0.6556592150265409,0.7832155786222894,0.11139350890044111,1
ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865,1,648.6776296904048,0.6614917909506913,0.7829710224942885,0.1302521071743863,1
ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324,1,782.2215510233787,0.6996174203102903,0.9059649786319227,0.05996979413778684,1
AYMARAES,-14.291527777777778,-73.25063888888889,2964,1,700.8029241131206,0.7518214976127919,0.991284418486058,0.07383035176424668,1
CAYLLOMA,-15.188827777777778,-71.77019166666666,4327,1,732.9420258889907,0.7786323390982616,1.0489954481191703,0.056608395155890806,2
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,1,896.2866278047841,0.7639716174875529,1.0108580194175343,0.05819051921788442,2
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,1,682.1225534717229,0.7101174368820368,0.9289391315673688,0.05634333188223669,1
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,1,957.6387769497047,0.7217397497925935,0.9293616254132692,0.07511119490827899,1
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,1,863.415682166411,0.6863834501636523,0.8609445125999852,0.09945493020229945,1
IMATA,-15.842655555555556,-71.09061666666666,4475,1,530.3836478356457,0.8199089913028851,1.153895234993441,0.04292460581617458,1
MACUSANI,-14.07,-70.43908333333334,4345,1,651.7259792598909,0.6920783338744967,0.8649230775103719,0.0821349922240263,1
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,1,696.1805048428721,0.7488572495963374,0.9885938108314999,0.05843907325463014,1
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,1,736.4105057246816,0.708959228214779,0.8843151059094145,0.1027275068685589,2
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,1,630.8105889160635,0.8052415247719613,1.1134894031005842,0.05179427341541532,1
PUCARA,-15.045666666666667,-70.36663888888889,3877,1,746.964920164232,0.7029473232920289,0.893431322371631,0.0675380067234718,1
SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253,1,838.9972318447493,0.732054748845678,0.9423154274456599,0.06022609822424046,1
SICUANI,-14.23736111111111,-71.23669444444444,3534,1,711.419825946926,0.6949809921254695,0.8811967414799126,0.0660048230410394,1
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,1,1012.1178413376017,0.7124559011257261,0.9074727643979265,0.06852329610242491,1
CANDARAVE,-17.27111111111111,-70.2538888888889,3435,2,189.56375762064278,0.9274295063197154,1.5161075284607726,0.03231837853218465,2
CARAVELI,-15.775680555555557,-73.3625861111111,1755,2,35.71311471229523,0.8802049385585882,1.4335654032253056,0.05864750054963183,2
CORA CORA,-15.00595,-73.77916666666667,3200,2,432.036826578174,0.8617568454038573,1.2991412022749549,0.0451874971586453,2
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,2,299.4503694098431,0.8787178316345756,1.3484802806208076,0.032928753474720025,2
HUAMBO,-15.732005555555556,-72.10692499999999,3312,2,273.48608893373705,0.8794577653915061,1.3361853133208947,0.03442103141521233,2
UBINAS,-16.372055555555555,-70.85394444444444,3380,2,319.3677893575286,0.8660661428630003,1.3056165451638344,0.042891490765377356,2
LA YARADA,-18.21065,-70.52593333333333,30,3,4.436144596564674,0.2554369760185408,0.6137651162477903,0.6362598628961181,7
PAMPA BLANCA,-17.071608333333334,-71.724525,108,3,5.395710763972649,0.4624114265060056,0.652044030737812,0.4477668033358979,1
PUNTA ATICO,-16.231741666666665,-73.696375,30,3,8.744870466458005,0.5515154855398894,0.7497080293959767,0.2147821896837448,1
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,3,3.4710907316901487,0.19532853979474596,0.7181734786443698,0.6092691584961502,9
