estacion,cluster_ward,escala,n_eventos,duracion_media,duracion_mediana,severidad_media,severidad_mediana,intensidad_media,minimo_medio
HUARAYA MOHO,1,nspei_12,16,15.0625,13,14.450640919627062,11.497241506341629,0.9122142400306442,-1.572479049205634
MACUSANI,1,nspei_12,16,16.0625,16.5,14.675160162843955,16.84638561131363,0.9191571451778427,-1.6243458511293807
ANANEA,1,nspei_12,15,18.533333333333335,14,16.264069852822164,12.63610712070926,0.858980666794354,-1.6039111154266368
GRANJA KAYRA,1,nspei_12,13,16.923076923076923,14,16.754714418140416,13.675780059178019,0.9787912955214413,-1.6600437569349331
MAÑAZO,1,nspei_12,13,18.384615384615383,20,17.27843031645005,14.734704680889045,0.9515041546569795,-1.7929871183942359
PIZACOMA,1,nspei_12,13,18.076923076923077,14,17.111506082553078,13.160265368576232,0.9565273062717553,-1.664283206717801
IMATA,1,nspei_12,11,22.636363636363637,18,21.44064211175518,23.72363520526224,0.9310043291431093,-1.733142217468845
TAMBOBAMBA,1,nspei_12,11,24.272727272727273,20,21.47826722262495,18.38930912721648,0.8953790129291463,-1.8074058409813578
ANTA ANCACHURO,1,nspei_12,10,25.1,16,23.001686460436755,15.304757604190318,0.7702541722617839,-1.3741617547715368
GRANJA SAN ANTONIO,1,nspei_12,10,23.1,21,22.35569895354095,16.764264936746454,0.8590700776862205,-1.6722601092064635
SANTO TOMAS,1,nspei_12,10,23.7,25.5,22.726514263899418,22.151663402612918,1.001086253290665,-1.7513133900825657
AYMARAES,1,nspei_12,9,28.88888888888889,22,26.77102714171076,22.929711820910246,0.9296223766482457,-1.8601289364507585
CAYLLOMA,1,nspei_12,9,28.555555555555557,23,25.550584796871604,17.691445211093928,0.8396387956355938,-1.68498250023527
PUCARA,1,nspei_12,8,29.125,17.5,28.727470933388123,14.364979886267168,0.94766112116674,-1.7379890048336715
SICUANI,1,nspei_12,8,29.75,27,28.26844898043378,22.18382520380513,0.9056978952504287,-1.679077455640806
PAUCARAY,1,nspei_12,7,32,25,31.80473683064688,24.603208518524752,0.9126342577901528,-1.724734750372717
CURPAHUASI,1,nspei_12,6,27.833333333333332,19,31.428877047968452,20.36920059838503,1.067310659859487,-1.875793512836323
ANDAHUAYLAS,1,nspei_12,3,66,74,68.36370529831814,84.9099937159513,0.976996000491126,-1.8278248287795498
CANDARAVE,2,nspei_12,12,20.916666666666668,17.5,19.111748776687232,18.314115443953277,0.9599981312232215,-1.6699624366439312
UBINAS,2,nspei_12,10,26.2,25,23.39793163038663,25.63446795444731,0.8975460107043468,-1.7884680385864202
