fecha,estacion,cluster_ward,altitud,nspei_12,cluster_label
1970-01-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-02-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-03-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-04-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-05-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-06-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-07-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-08-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-09-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-10-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-11-01,ANANEA,1,4660,NA,Cluster 1  (n = 18)
1970-12-01,ANANEA,1,4660,0.615743893957638,Cluster 1  (n = 18)
1971-01-01,ANANEA,1,4660,0.7802547122795106,Cluster 1  (n = 18)
1971-02-01,ANANEA,1,4660,2.3064708457328997,Cluster 1  (n = 18)
1971-03-01,ANANEA,1,4660,1.8901721526217297,Cluster 1  (n = 18)
1971-04-01,ANANEA,1,4660,1.6626348924568946,Cluster 1  (n = 18)
1971-05-01,ANANEA,1,4660,1.6626348924568946,Cluster 1  (n = 18)
1971-06-01,ANANEA,1,4660,1.6626348924568946,Cluster 1  (n = 18)
1971-07-01,ANANEA,1,4660,1.6626348924568946,Cluster 1  (n = 18)
1971-08-01,ANANEA,1,4660,1.4983738577222923,Cluster 1  (n = 18)
1971-09-01,ANANEA,1,4660,0.9897646711387679,Cluster 1  (n = 18)
1971-10-01,ANANEA,1,4660,1.3668040054141501,Cluster 1  (n = 18)
1971-11-01,ANANEA,1,4660,1.4983738577222923,Cluster 1  (n = 18)
1971-12-01,ANANEA,1,4660,0.6727463927271261,Cluster 1  (n = 18)
1972-01-01,ANANEA,1,4660,0.717782238973426,Cluster 1  (n = 18)
1972-02-01,ANANEA,1,4660,0.2870208109116059,Cluster 1  (n = 18)
1972-03-01,ANANEA,1,4660,0.33656375477404327,Cluster 1  (n = 18)
1972-04-01,ANANEA,1,4660,0.09451660176330516,Cluster 1  (n = 18)
1972-05-01,ANANEA,1,4660,0.14204027571019928,Cluster 1  (n = 18)
1972-06-01,ANANEA,1,4660,0.09451660176330516,Cluster 1  (n = 18)
1972-07-01,ANANEA,1,4660,0.04720555828677284,Cluster 1  (n = 18)
1972-08-01,ANANEA,1,4660,0.2381729091538447,Cluster 1  (n = 18)
1972-09-01,ANANEA,1,4660,0.2870208109116059,Cluster 1  (n = 18)
1972-10-01,ANANEA,1,4660,0.18988711391725094,Cluster 1  (n = 18)
1972-11-01,ANANEA,1,4660,0,Cluster 1  (n = 18)
1972-12-01,ANANEA,1,4660,-0.023160129025154075,Cluster 1  (n = 18)
1973-01-01,ANANEA,1,4660,0.09451660176330516,Cluster 1  (n = 18)
1973-02-01,ANANEA,1,4660,0.4383334539748807,Cluster 1  (n = 18)
1973-03-01,ANANEA,1,4660,0.5448693560956385,Cluster 1  (n = 18)
1973-04-01,ANANEA,1,4660,0.9154798822884138,Cluster 1  (n = 18)
1973-05-01,ANANEA,1,4660,0.7802547122795106,Cluster 1  (n = 18)
1973-06-01,ANANEA,1,4660,0.7802547122795106,Cluster 1  (n = 18)
1973-07-01,ANANEA,1,4660,0.8459325705724291,Cluster 1  (n = 18)
1973-08-01,ANANEA,1,4660,1.0699572445785408,Cluster 1  (n = 18)
1973-09-01,ANANEA,1,4660,1.255389637124535,Cluster 1  (n = 18)
1973-10-01,ANANEA,1,4660,1.6626348924568946,Cluster 1  (n = 18)
1973-11-01,ANANEA,1,4660,1.3668040054141501,Cluster 1  (n = 18)
