estacion,cluster_ward,altitud,n_estaciones,cluster_label
ANANEA,1,4660,18,Cluster 1  (n = 18)
IMATA,1,4475,18,Cluster 1  (n = 18)
MACUSANI,1,4345,18,Cluster 1  (n = 18)
CAYLLOMA,1,4327,18,Cluster 1  (n = 18)
PIZACOMA,1,3930,18,Cluster 1  (n = 18)
MAÑAZO,1,3910,18,Cluster 1  (n = 18)
HUARAYA MOHO,1,3890,18,Cluster 1  (n = 18)
PUCARA,1,3877,18,Cluster 1  (n = 18)
CURPAHUASI,1,3535,18,Cluster 1  (n = 18)
SICUANI,1,3534,18,Cluster 1  (n = 18)
ANTA ANCACHURO,1,3324,18,Cluster 1  (n = 18)
TAMBOBAMBA,1,3317,18,Cluster 1  (n = 18)
SANTO TOMAS,1,3253,18,Cluster 1  (n = 18)
PAUCARAY,1,3238,18,Cluster 1  (n = 18)
GRANJA KAYRA,1,3214,18,Cluster 1  (n = 18)
AYMARAES,1,2964,18,Cluster 1  (n = 18)
ANDAHUAYLAS,1,2865,18,Cluster 1  (n = 18)
GRANJA SAN ANTONIO,1,2772,18,Cluster 1  (n = 18)
CANDARAVE,2,3435,6,Cluster 2  (n = 6)
UBINAS,2,3380,6,Cluster 2  (n = 6)
HUAMBO,2,3312,6,Cluster 2  (n = 6)
CORA CORA,2,3200,6,Cluster 2  (n = 6)
COTAHUASI,2,2683,6,Cluster 2  (n = 6)
CARAVELI,2,1755,6,Cluster 2  (n = 6)
PAMPA BLANCA,3,108,4,Cluster 3  (n = 4)
LA YARADA,3,30,4,Cluster 3  (n = 4)
PUNTA ATICO,3,30,4,Cluster 3  (n = 4)
PUNTA COLES,3,25,4,Cluster 3  (n = 4)
