escala,criterio_copula,n_estaciones,porcentaje
nspei_12,Muy insuficiente,15,53.57142857142857
nspei_12,Insuficiente,10,35.714285714285715
nspei_12,Limitado,3,10.714285714285714
nspei_12,Aceptable,0,0
nspei_12,Bueno,0,0
nspei_3,Muy insuficiente,0,0
nspei_3,Insuficiente,2,7.142857142857143
nspei_3,Limitado,2,7.142857142857143
nspei_3,Aceptable,11,39.285714285714285
nspei_3,Bueno,13,46.42857142857143
nspei_6,Muy insuficiente,4,14.285714285714286
nspei_6,Insuficiente,1,3.5714285714285716
nspei_6,Limitado,11,39.285714285714285
nspei_6,Aceptable,12,42.857142857142854
nspei_6,Bueno,0,0
