Grupo,Variable,Modelo,n,logLik,AIC,BIC,Convergio,Codigo_convergencia,Metodo,Estado,Margen_soporte,Inicio_Lmom,Parametros
Cluster 1,Duración (D),WEI,584,NA,Inf,Inf,FALSE,0,lmomco::mle2par,No válido: densidad no válida; solución en/fuera del límite del soporte,-0.9734076767119164,"-2.069167, 5.01541, 1.105515","-1.973408, 5.128653, 1.075701"
Cluster 1,Duración (D),PE3,584,-1607.0480456937678,3220.0960913875356,3233.20579433602,TRUE,0,Nelder-Mead,Válido,NA,"6.900685, 4.392379, 1.775802","7.1407191780821915, 5.5839987472194501, 1.6758018060608484"
Cluster 1,Duración (D),LN3,584,-1552.8723885056895,3111.744777011379,3124.8544799598635,TRUE,0,BFGS,Válido,NA,"0.243073, 1.70461, 0.618305","-0.15989873742927263, 1.7855318625457035, 0.57958556252421023"
Cluster 1,Duración (D),GAM,584,-1568.5954890819737,3141.1909781639474,3149.930780129604,TRUE,0,BFGS,Válido,NA,"2.73238, 2.525522","2.956645505252482, 2.3339571517329349"
Cluster 1,Severidad (S),PE3,584,-1670.9701942433824,3347.9403884867647,3361.050091435249,TRUE,0,Nelder-Mead,Válido,NA,"6.699553, 5.223819, 2.026976","7.0395230630913668, 7.3389736692147736, 2.3669457374621521"
Cluster 1,Severidad (S),GPA,584,-1599.6479871993972,3205.2959743987944,3218.405677347279,TRUE,0,Nelder-Mead,Válido,NA,"1.517936, 5.129619, -0.010035","1.0020197122271575, 5.8912806811746936, 0.034340555019220217"
Cluster 1,Severidad (S),LN3,584,-1586.2221920080551,3178.4443840161102,3191.5540869645947,TRUE,0,BFGS,Válido,NA,"-0.066495, 1.659182, 0.710964","0.43625033765682197, 1.5314677670442969, 0.79114615760755291"
Cluster 1,Severidad (S),GAM,584,-1616.7637113119345,3237.527422623869,3246.2672245895255,TRUE,0,BFGS,Válido,NA,"1.842682, 3.635762","2.1225693774423133, 3.1563400335628882"
Cluster 2,Duración (D),WEI,152,NA,Inf,Inf,FALSE,10,lmomco::mle2par,No válido: sin convergencia; densidad no válida; solución en/fuera del límite del soporte,-1,"-3.021634, 5.54046, 0.855278","-3, 4.160361, 0.40176"
Cluster 2,Duración (D),PE3,152,-497.91419229948355,1001.8283845989671,1010.9000261615059,TRUE,0,Nelder-Mead,Válido,NA,"9.026316, 6.982334, 2.380662","9.5214035087719289, 11.455511065666951, 2.8757500315361146"
Cluster 2,Duración (D),LN3,152,-439.5524745419304,885.1049490838608,894.1765906463996,TRUE,0,BFGS,Válido,NA,"1.58571, 1.652914, 0.841473","1.6623998167309468, 1.640419224254055, 0.84572144099070345"
Cluster 2,Duración (D),GAM,152,-458.8403491768333,921.6806983536666,927.7284593953591,TRUE,0,BFGS,Válido,NA,"2.069129, 4.362375","2.4640670778043763, 3.6631784017662192"
Cluster 2,Severidad (S),PE3,152,-517.8522159114553,1041.7044318229107,1050.7760733854495,TRUE,0,Nelder-Mead,Válido,NA,"8.730264, 8.168794, 2.533644","9.205614592826878, 13.14014702855169, 3.0089951753440785"
Cluster 2,Severidad (S),GPA,152,-456.62343479496525,919.2468695899305,928.3185111524693,TRUE,0,Nelder-Mead,Válido,NA,"1.776339, 5.687841, -0.182067","1.2614369846185924, 6.7545425388895284, -0.093899770912562033"
Cluster 2,Severidad (S),LN3,152,-451.8356724634539,909.67134492690775,918.7429864894466,TRUE,0,BFGS,Válido,NA,"0.665781, 1.684725, 0.89749","0.97421176167208445, 1.6112029373706003, 0.94408551760928738"
Cluster 2,Severidad (S),GAM,152,-469.67662493121105,943.3532498624221,949.4010109041146,TRUE,0,BFGS,Válido,NA,"1.389856, 6.281415","1.7305746962998161, 5.0447213012402505"
Cluster 3,Duración (D),WEI,61,NA,Inf,Inf,FALSE,0,lmomco::mle2par,No válido: densidad no válida; solución en/fuera del límite del soporte,-8.881784197001252e-16,"-4.469668, 10.718385, 0.823019","-3, 11.77911, 0.941951"
Cluster 3,Duración (D),PE3,61,-282.8202340239488,571.6404680478976,577.9730896404175,TRUE,0,Nelder-Mead,Válido,NA,"16.377049, 14.376269, 2.481034","17.362185792349727, 38.502202536327154, 3.4661708913530069"
Cluster 3,Duración (D),LN3,61,-218.975375634419,443.950751268838,450.283372861358,TRUE,0,BFGS,Válido,NA,"1.813606, 2.292833, 0.878272","1.9787040737619928, 2.2736463125446238, 0.90228537328083525"
Cluster 3,Duración (D),GAM,61,-224.92760535458245,453.8552107091649,458.0769584375115,TRUE,0,BFGS,Válido,NA,"1.591885, 10.287832","1.9490910714461402, 8.4024059731189684"
Cluster 3,Severidad (S),PE3,61,-288.1517625097849,582.3035250195697,588.6361466120896,TRUE,0,Nelder-Mead,Válido,NA,"15.305835, 16.787987, 2.99754","16.219557728733292, 41.862310060930405, 3.9112624305025436"
Cluster 3,Severidad (S),GPA,61,-215.77141659300588,437.54283318601176,443.8754547785317,TRUE,0,Nelder-Mead,Válido,NA,"2.848815, 8.560853, -0.312769","2.2617200429292685, 9.9128643565969714, -0.24338877298658423"
Cluster 3,Severidad (S),LN3,61,-215.87227470590292,437.74454941180585,444.0771710043258,TRUE,0,BFGS,Válido,NA,"1.836442, 2.034438, 1.063938","1.7523336156739269, 2.0559893544830619, 1.0660521544880217"
Cluster 3,Severidad (S),GAM,61,-225.13562629585311,454.27125259170623,458.49300032005283,TRUE,0,BFGS,Válido,NA,"1.096232, 13.962227","1.4468708940804813, 10.578579253495617"
