Grupo,Variable,Modelo,n,logLik,AIC,BIC,Convergio,Codigo_convergencia,Metodo,Estado,Margen_soporte,Parametros,Inicio_Lmom
Cluster 1,Duración (D),LN3,584,-1552.8723885056895,3111.744777011379,3124.8544799598635,TRUE,0,BFGS,Válido,NA,"-0.15989873742927263, 1.7855318625457035, 0.57958556252421023","0.243073, 1.70461, 0.618305"
Cluster 1,Duración (D),GAM,584,-1568.5954890819737,3141.1909781639474,3149.930780129604,TRUE,0,BFGS,Válido,NA,"2.956645505252482, 2.3339571517329349","2.73238, 2.525522"
Cluster 1,Duración (D),PE3,584,-1607.0480456937678,3220.0960913875356,3233.20579433602,TRUE,0,Nelder-Mead,Válido,NA,"7.1407191780821915, 5.5839987472194501, 1.6758018060608484","6.900685, 4.392379, 1.775802"
Cluster 1,Duración (D),WEI,584,NA,Inf,Inf,FALSE,0,lmomco::mle2par,No válido: densidad no válida; solución en/fuera del límite del soporte,-0.9734076767119164,"-1.973408, 5.128653, 1.075701","-2.069167, 5.01541, 1.105515"
Cluster 2,Duración (D),LN3,152,-439.5524745419304,885.1049490838608,894.1765906463996,TRUE,0,BFGS,Válido,NA,"1.6623998167309468, 1.640419224254055, 0.84572144099070345","1.58571, 1.652914, 0.841473"
Cluster 2,Duración (D),GAM,152,-458.8403491768333,921.6806983536666,927.7284593953591,TRUE,0,BFGS,Válido,NA,"2.4640670778043763, 3.6631784017662192","2.069129, 4.362375"
Cluster 2,Duración (D),PE3,152,-497.91419229948355,1001.8283845989671,1010.9000261615059,TRUE,0,Nelder-Mead,Válido,NA,"9.5214035087719289, 11.455511065666951, 2.8757500315361146","9.026316, 6.982334, 2.380662"
Cluster 2,Duración (D),WEI,152,NA,Inf,Inf,FALSE,10,lmomco::mle2par,No válido: sin convergencia; densidad no válida; solución en/fuera del límite del soporte,-1,"-3, 4.160361, 0.40176","-3.021634, 5.54046, 0.855278"
Cluster 3,Duración (D),LN3,61,-218.975375634419,443.950751268838,450.283372861358,TRUE,0,BFGS,Válido,NA,"1.9787040737619928, 2.2736463125446238, 0.90228537328083525","1.813606, 2.292833, 0.878272"
Cluster 3,Duración (D),GAM,61,-224.92760535458245,453.8552107091649,458.0769584375115,TRUE,0,BFGS,Válido,NA,"1.9490910714461402, 8.4024059731189684","1.591885, 10.287832"
Cluster 3,Duración (D),PE3,61,-282.8202340239488,571.6404680478976,577.9730896404175,TRUE,0,Nelder-Mead,Válido,NA,"17.362185792349727, 38.502202536327154, 3.4661708913530069","16.377049, 14.376269, 2.481034"
Cluster 3,Duración (D),WEI,61,NA,Inf,Inf,FALSE,0,lmomco::mle2par,No válido: densidad no válida; solución en/fuera del límite del soporte,-8.881784197001252e-16,"-3, 11.77911, 0.941951","-4.469668, 10.718385, 0.823019"
