Grupo,Variable,Modelo,n,logLik,AIC,BIC,Convergio,Codigo_convergencia,Metodo,Estado,Margen_soporte,Parametros,Inicio_Lmom
Cluster 1,Severidad (S),LN3,584,-1586.2221920080551,3178.4443840161102,3191.5540869645947,TRUE,0,BFGS,Válido,NA,"0.43625033765682197, 1.5314677670442969, 0.79114615760755291","-0.066495, 1.659182, 0.710964"
Cluster 1,Severidad (S),GPA,584,-1599.6479871993972,3205.2959743987944,3218.405677347279,TRUE,0,Nelder-Mead,Válido,NA,"1.0020197122271575, 5.8912806811746936, 0.034340555019220217","1.517936, 5.129619, -0.010035"
Cluster 1,Severidad (S),GAM,584,-1616.7637113119345,3237.527422623869,3246.2672245895255,TRUE,0,BFGS,Válido,NA,"2.1225693774423133, 3.1563400335628882","1.842682, 3.635762"
Cluster 1,Severidad (S),PE3,584,-1670.9701942433824,3347.9403884867647,3361.050091435249,TRUE,0,Nelder-Mead,Válido,NA,"7.0395230630913668, 7.3389736692147736, 2.3669457374621521","6.699553, 5.223819, 2.026976"
Cluster 2,Severidad (S),LN3,152,-451.8356724634539,909.67134492690775,918.7429864894466,TRUE,0,BFGS,Válido,NA,"0.97421176167208445, 1.6112029373706003, 0.94408551760928738","0.665781, 1.684725, 0.89749"
Cluster 2,Severidad (S),GPA,152,-456.62343479496525,919.2468695899305,928.3185111524693,TRUE,0,Nelder-Mead,Válido,NA,"1.2614369846185924, 6.7545425388895284, -0.093899770912562033","1.776339, 5.687841, -0.182067"
Cluster 2,Severidad (S),GAM,152,-469.67662493121105,943.3532498624221,949.4010109041146,TRUE,0,BFGS,Válido,NA,"1.7305746962998161, 5.0447213012402505","1.389856, 6.281415"
Cluster 2,Severidad (S),PE3,152,-517.8522159114553,1041.7044318229107,1050.7760733854495,TRUE,0,Nelder-Mead,Válido,NA,"9.205614592826878, 13.14014702855169, 3.0089951753440785","8.730264, 8.168794, 2.533644"
Cluster 3,Severidad (S),GPA,61,-215.77141659300588,437.54283318601176,443.8754547785317,TRUE,0,Nelder-Mead,Válido,NA,"2.2617200429292685, 9.9128643565969714, -0.24338877298658423","2.848815, 8.560853, -0.312769"
Cluster 3,Severidad (S),LN3,61,-215.87227470590292,437.74454941180585,444.0771710043258,TRUE,0,BFGS,Válido,NA,"1.7523336156739269, 2.0559893544830619, 1.0660521544880217","1.836442, 2.034438, 1.063938"
Cluster 3,Severidad (S),GAM,61,-225.13562629585311,454.27125259170623,458.49300032005283,TRUE,0,BFGS,Válido,NA,"1.4468708940804813, 10.578579253495617","1.096232, 13.962227"
Cluster 3,Severidad (S),PE3,61,-288.1517625097849,582.3035250195697,588.6361466120896,TRUE,0,Nelder-Mead,Válido,NA,"16.219557728733292, 41.862310060930405, 3.9112624305025436","15.305835, 16.787987, 2.99754"
