Grupo,Variable,Modelo,n,logLik,AIC,BIC,Delta_AIC,Delta_BIC,Rank_AIC,Rank_BIC
Cluster 1,Duración (D),LN3,584,-1552.8723885056895,3111.744777011379,3124.8544799598635,0,0,1,1
Cluster 1,Duración (D),GAM,584,-1568.5954890819737,3141.1909781639474,3149.930780129604,29.446201152568392,25.076300169740534,2,2
Cluster 1,Duración (D),PE3,584,-1607.0480456937678,3220.0960913875356,3233.20579433602,108.35131437615655,108.35131437615655,3,3
Cluster 1,Severidad (S),LN3,584,-1586.2221920080551,3178.4443840161102,3191.5540869645947,0,0,1,1
Cluster 1,Severidad (S),GPA,584,-1599.6479871993972,3205.2959743987944,3218.405677347279,26.851590382684208,26.851590382684208,2,2
Cluster 1,Severidad (S),GAM,584,-1616.7637113119345,3237.527422623869,3246.2672245895255,59.08303860775868,54.71313762493082,3,3
Cluster 1,Severidad (S),PE3,584,-1670.9701942433824,3347.9403884867647,3361.050091435249,169.4960044706545,169.4960044706545,4,4
Cluster 2,Duración (D),LN3,152,-439.5524745419304,885.1049490838608,894.1765906463996,0,0,1,1
Cluster 2,Duración (D),GAM,152,-458.8403491768333,921.6806983536666,927.7284593953591,36.57574926980578,33.551868748959464,2,2
Cluster 2,Duración (D),PE3,152,-497.91419229948355,1001.8283845989671,1010.9000261615059,116.7234355151063,116.7234355151063,3,3
Cluster 2,Severidad (S),LN3,152,-451.8356724634539,909.67134492690775,918.7429864894466,0,0,1,1
Cluster 2,Severidad (S),GPA,152,-456.62343479496525,919.2468695899305,928.3185111524693,9.575524663022748,9.575524663022748,2,2
Cluster 2,Severidad (S),GAM,152,-469.67662493121105,943.3532498624221,949.4010109041146,33.68190493551435,30.658024414668034,3,3
Cluster 2,Severidad (S),PE3,152,-517.8522159114553,1041.7044318229107,1050.7760733854495,132.03308689600294,132.03308689600294,4,4
Cluster 3,Duración (D),LN3,61,-218.975375634419,443.950751268838,450.283372861358,0,0,1,1
Cluster 3,Duración (D),GAM,61,-224.92760535458245,453.8552107091649,458.0769584375115,9.904459440326889,7.793585576153532,2,2
Cluster 3,Duración (D),PE3,61,-282.8202340239488,571.6404680478976,577.9730896404175,127.68971677905955,127.6897167790595,3,3
Cluster 3,Severidad (S),GPA,61,-215.77141659300588,437.54283318601176,443.8754547785317,0,0,1,1
Cluster 3,Severidad (S),LN3,61,-215.87227470590292,437.74454941180585,444.0771710043258,0.20171622579408677,0.20171622579408677,2,2
Cluster 3,Severidad (S),GAM,61,-225.13562629585311,454.27125259170623,458.49300032005283,16.728419405694467,14.61754554152111,3,3
Cluster 3,Severidad (S),PE3,61,-288.1517625097849,582.3035250195697,588.6361466120896,144.76069183355798,144.76069183355793,4,4
