"cluster","familia","logLik","AIC","BIC","k","convergio","parametro"
1,"Gaussian",495.284150871721,-988.568301743443,-984.198400760615,1,TRUE,"rho.1=0.903663"
1,"t-Student",494.825830226752,-985.651660453503,-976.911858487847,2,TRUE,"rho.1=0.902976; df=92.424564"
1,"Gumbel",473.33775420109,-944.675508402181,-940.305607419353,1,TRUE,"alpha=3.270317"
1,"Frank",442.429402841708,-882.858805683415,-878.488904700587,1,TRUE,"alpha=11.636751"
1,"Clayton",200.081033074976,-398.162066149951,-393.792165167123,1,TRUE,"alpha=5.871723"
2,"Gumbel",133.143499517476,-264.286999034951,-261.263118514105,1,TRUE,"alpha=3.456922"
2,"Gaussian",127.926248862871,-253.852497725743,-250.828617204896,1,TRUE,"rho.1=0.90234"
2,"t-Student",127.787847466589,-251.575694933178,-245.527933891486,2,TRUE,"rho.1=0.902226; df=102.020778"
2,"Frank",118.829340183298,-235.658680366595,-232.634799845749,1,TRUE,"alpha=11.871091"
2,"Clayton",6.56598317417526,-11.1319663483505,-8.10808582750425,1,TRUE,"alpha=6.154276"
3,"Gumbel",58.6847448252218,-115.369489650444,-113.25861578627,1,TRUE,"alpha=3.801567"
3,"Frank",55.0671682658736,-108.134336531747,-106.023462667574,1,TRUE,"alpha=14.173125"
3,"t-Student",52.9014264074215,-101.802852814843,-97.5811050864964,2,TRUE,"rho.1=0.915874; df=4.699421"
3,"Gaussian",44.7823827485514,-87.5647654971027,-85.4538916329294,1,TRUE,"rho.1=0.858809"
3,"Clayton",-56.6113591646645,115.222718329329,117.333592193502,1,TRUE,"alpha=7.145616"
