"percentil_d","d","percentil_s","s","u","v","Cuv","p_joint","p_d","p_s","p_s_d","p_d_s","cluster","dist_d","dist_s","copula","parametro_copula","n_eventos"
"P50",6,"P50",5.14690383383885,0.522378361148032,0.509256791890135,0.445248600370952,0.413613447332785,0.477621638851968,0.490743208109865,0.865985570350131,0.842830711658443,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P50",6,"P75",8.47526441095233,0.522378361148032,0.757655855116503,0.517115439878163,0.237081223613628,0.477621638851968,0.242344144883497,0.496378732302595,0.978283274504529,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P50",6,"P90",12.9034894308714,0.522378361148032,0.894973125793633,0.522239925035804,0.104888438094139,0.477621638851968,0.105026874206367,0.219605707870048,0.998681898197249,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P75",8,"P50",5.14690383383885,0.705831891651627,0.509256791890135,0.499276414620278,0.284187731078517,0.294168108348373,0.490743208109865,0.966072538162304,0.579096615871847,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P75",8,"P75",8.47526441095233,0.705831891651627,0.757655855116503,0.67019598474608,0.206708237977951,0.294168108348373,0.242344144883497,0.70268745017442,0.852953299438376,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P75",8,"P90",12.9034894308714,0.705831891651627,0.894973125793633,0.70324317182787,0.102438154382611,0.294168108348373,0.105026874206367,0.348229979645846,0.975351834058492,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P90",12,"P50",5.14690383383885,0.890561433487414,0.509256791890135,0.509124960499959,0.10930673512241,0.109438566512586,0.490743208109865,0.998795384530551,0.222737132814152,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P90",12,"P75",8.47526441095233,0.890561433487414,0.757655855116503,0.751592745397707,0.10337545679379,0.109438566512586,0.242344144883497,0.944598052478163,0.426564697255163,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P90",12,"P90",12.9034894308714,0.890561433487414,0.894973125793633,0.860540498103648,0.0750059388226013,0.109438566512586,0.105026874206367,0.685370260345794,0.714159489077263,1,"LN3","LN3","Gaussian","rho.1=0.903663",584
"P50",7,"P50",5.8716434144252,0.516202333011956,0.490496443718344,0.431405661792408,0.424706885062108,0.483797666988044,0.509503556281655,0.877860547997648,0.833570011093953,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P50",7,"P75",10.6643289806215,0.516202333011956,0.757719949451132,0.511404905196518,0.23748262273343,0.483797666988044,0.242280050548868,0.490871781610511,0.980198832695595,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P50",7,"P90",17.8835451285592,0.516202333011956,0.901252444940186,0.516037643198057,0.0985828652459152,0.483797666988044,0.0987475550598138,0.203768790080485,0.998332213756595,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P75",12,"P50",5.8716434144252,0.794523963982469,0.490496443718344,0.488484848806322,0.203464441105509,0.205476036017531,0.509503556281655,0.990210075340119,0.399338608331583,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P75",12,"P75",10.6643289806215,0.794523963982469,0.757719949451132,0.730996438510304,0.178752525076703,0.205476036017531,0.242280050548868,0.8699434179344,0.737792998935538,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P75",12,"P90",17.8835451285592,0.794523963982469,0.901252444940186,0.791208920577435,0.0954325116547797,0.205476036017531,0.0987475550598138,0.46444594466791,0.966429109024258,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P90",17.9,"P50",5.8716434144252,0.912471492213538,0.490496443718344,0.490412294833858,0.0874443589019759,0.0875285077864619,0.509503556281655,0.999038611686477,0.17162659185373,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P90",17.9,"P75",10.6643289806215,0.912471492213538,0.757719949451132,0.75641216076665,0.0862207191019801,0.0875285077864619,0.242280050548868,0.985058711526623,0.355872136012244,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P90",17.9,"P90",17.8835451285592,0.912471492213538,0.901252444940186,0.886850551056788,0.0731266139030637,0.0875285077864619,0.0987475550598138,0.835460534543401,0.740541007407922,2,"LN3","LN3","Gumbel","alpha=3.456922",152
"P50",13,"P50",9.71715672331208,0.555610077605407,0.498752071297326,0.459533062204724,0.405170913301991,0.444389922394593,0.501247928702674,0.911746403065868,0.808324364253536,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P50",13,"P75",16.2916968075874,0.555610077605407,0.703639179293109,0.544147239992888,0.284897983094372,0.444389922394593,0.296360820706891,0.641099108546838,0.961321346103789,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P50",13,"P90",34.8861310466579,0.555610077605407,0.910841708017564,0.555531220806709,0.089079435183738,0.444389922394593,0.0891582919824359,0.200453319696661,0.999115541617672,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P75",18,"P50",9.71715672331208,0.710364692015728,0.498752071297326,0.492797536760644,0.28368077344759,0.289635307984272,0.501247928702674,0.979441268476129,0.565949018845444,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P75",18,"P75",16.2916968075874,0.710364692015728,0.703639179293109,0.659552440573251,0.245548569264414,0.289635307984272,0.296360820706891,0.84778534417409,0.82854598890205,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P75",18,"P90",34.8861310466579,0.710364692015728,0.910841708017564,0.709906307399129,0.0886999073658369,0.289635307984272,0.0891582919824359,0.306246872949114,0.99485875507026,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P90",28,"P50",9.71715672331208,0.862576954889892,0.498752071297326,0.498499295693896,0.137170269506678,0.137423045110108,0.501247928702674,0.998160602515917,0.273657528843462,3,"LN3","GPA","Gumbel","alpha=3.801567",61
"P90",28,"P75",16.2916968075874,0.862576954889892,0.703639179293109,0.701258207060458,0.135042072877457,0.137423045110108,0.296360820706891,0.982674141511394,0.455667765244237,3,"LN3","GPA","Gumbel","alpha=3.801567",61
