archivo,tipo,existe,tamano_bytes
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/hash_entradas_copulas_nspei3.csv,tabla,TRUE,366
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/tabla_eventos_ajuste_bivariado_nspei3.csv,tabla,TRUE,71
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/eventos_ajuste_bivariado_nspei3.csv,tabla,TRUE,71
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/observaciones_transformadas_nspei3.csv,tabla,TRUE,160885
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/diagnostico_transformacion_uniforme_nspei3.csv,tabla,TRUE,732
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/comparacion_copulas_nspei3.csv,tabla,TRUE,1433
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/tabla_delta_aic_bic_copulas_nspei3.csv,tabla,TRUE,1987
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/copulas_seleccionadas_nspei3.csv,tabla,TRUE,824
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/tabla_copulas_seleccionadas_tesis_nspei3.csv,tabla,TRUE,545
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/tablas/tabla_dependencia_cola_copulas_nspei3.csv,tabla,TRUE,684
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/observaciones_uniformes_nspei3.png,figura,TRUE,1583490
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/observaciones_uniformes_nspei3.pdf,figura,TRUE,48014
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/delta_aic_copulas_nspei3.png,figura,TRUE,584617
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/delta_aic_copulas_nspei3.pdf,figura,TRUE,5230
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/panel_5familias_copulas_cluster1.png,figura,TRUE,969044
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/panel_5familias_copulas_cluster2.png,figura,TRUE,959177
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/panel_5familias_copulas_cluster3.png,figura,TRUE,928534
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/panel_5familias_copulas_cluster1.pdf,figura,TRUE,1187641
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/panel_5familias_copulas_cluster2.pdf,figura,TRUE,1187436
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/panel_5familias_copulas_cluster3.pdf,figura,TRUE,1184200
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/copulas_seleccionadas_panel_q1_nspei3.png,figura,TRUE,588468
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/copulas_seleccionadas_panel_q1_nspei3.pdf,figura,TRUE,832333
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/copulas_seleccionadas_cdf_2d_nspei3.png,figura,TRUE,2191835
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/04_copulas/figuras/copulas_seleccionadas_cdf_2d_nspei3.pdf,figura,TRUE,69020
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/04_documentacion/reproducibilidad/config_copulas_nspei3.rds,reproducibilidad,TRUE,343
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/04_documentacion/reproducibilidad/sessionInfo_copulas_nspei3.txt,reproducibilidad,TRUE,2225
