archivo,tipo,existe,tamano_bytes
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/ajuste_marginales_nspei3_por_cluster.csv,tabla,TRUE,4952
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/mejores_marginales_nspei3_por_cluster.csv,tabla,TRUE,1637
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/tabla_10_mejores_marginales_nspei3.csv,tabla,TRUE,1033
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/tabla_11_marginales_duracion_nspei3.csv,tabla,TRUE,2545
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/tabla_12_marginales_severidad_nspei3.csv,tabla,TRUE,2528
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/tabla_13_delta_aic_bic_marginales_nspei3.csv,tabla,TRUE,2590
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/diagnostico_convergencia_marginales_nspei3.csv,tabla,TRUE,4952
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/resumen_muestra_eventos_nspei3_por_cluster.csv,tabla,TRUE,449
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/figuras/delta_aic_marginales_nspei3.png,figura,TRUE,306424
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/figuras/delta_aic_marginales_nspei3.pdf,figura,TRUE,5650
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/figuras/cdf_empirica_ajustada_marginales_nspei3.png,figura,TRUE,480548
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/figuras/cdf_empirica_ajustada_marginales_nspei3.pdf,figura,TRUE,31456
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/figuras/qq_marginales_seleccionadas_nspei3.png,figura,TRUE,722717
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/figuras/qq_marginales_seleccionadas_nspei3.pdf,figura,TRUE,81085
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/tabla_14_diagnostico_cdf_marginales_nspei3.csv,tabla,TRUE,476
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/03_resultados/03_marginales/tablas/tabla_15_cuantiles_marginales_seleccionadas_nspei3.csv,tabla,TRUE,648
h:/Tesis_UNCP/TESIS_SEQUIAS_UNCP_GITHUB/04_documentacion/reproducibilidad/sessionInfo_marginales_nspei3.txt,reproducibilidad,TRUE,1770
